(-32.56, -2.48, 0.00)
(-32.40, -3.28, 0.00)
(-32.40, -3.12, 0.00)
(-32.08, -2.48, 0.00)
(-31.92, -2.48, 0.00)
(-31.76, -3.92, 0.00)
(-31.76, -3.12, 0.00)
(-31.76, -2.96, 0.00)
(-31.44, -0.40, 0.00)
(-30.96, -2.48, 0.00)
(-30.80, -3.92, 0.00)
(-30.64, -3.92, 0.00)
(-30.00, -2.48, 0.00)
(-28.88, -3.60, 0.00)
(-28.72, -3.60, 0.00)
(-28.56, -3.60, 0.00)
(-28.56, -2.48, 0.00)
(-28.40, -3.60, 0.00)
(-28.24, -3.60, 0.00)
(-27.60, -3.60, 0.00)
(-27.44, -3.60, 0.00)
(-27.44, -2.48, 0.00)
(-27.28, -3.60, 0.00)
(-27.28, -2.48, 0.00)
(-27.12, -3.60, 0.00)
(-27.12, -2.48, 0.00)
(-26.96, -3.60, 0.00)
(-26.96, -2.48, 0.00)
(-22.32, -10.80, 0.00)
(-22.16, -11.92, 0.00)
(-21.84, 4.24, 0.00)
(-21.68, -1.84, 0.00)
(-21.68, 0.56, 0.00)
(-21.52, -11.44, 0.00)
(-21.52, -8.24, 0.00)
(-21.20, 2.96, 0.00)
(-20.88, -10.80, 0.00)
(-20.40, -12.24, 0.00)
(-19.76, 1.52, 0.00)
