(-22.64, -12.88, 0.00)
(-22.48, -12.88, 0.00)
(-22.32, -12.88, 0.00)
(-22.16, -12.88, 0.00)
(-22.00, -12.88, 0.00)
(-21.84, -12.88, 0.00)
(-21.68, -12.88, 0.00)
(-21.52, -12.88, 0.00)
(-21.36, -12.88, 0.00)
(-21.20, -12.88, 0.00)
(-21.04, -12.88, 0.00)
(-20.88, -12.88, 0.00)
(-20.72, -12.88, 0.00)
(-20.56, -12.88, 0.00)
(-20.40, -12.88, 0.00)
(-20.24, -12.88, 0.00)
(-20.08, -12.88, 0.00)
(-19.92, -12.88, 0.00)
(-19.76, -12.88, 0.00)
(-19.60, -12.88, 0.00)
(-22.80, -12.72, 0.00)
(-22.80, -12.56, 0.00)
(-22.80, -12.40, 0.00)
(-22.80, -12.24, 0.00)
(-22.80, -12.08, 0.00)
(-22.80, -11.92, 0.00)
(-22.80, -11.76, 0.00)
(-22.80, -11.60, 0.00)
(-22.80, -11.44, 0.00)
(-22.80, -11.28, 0.00)
(-22.80, -11.12, 0.00)
(-22.80, -10.96, 0.00)
(-22.80, -10.80, 0.00)
(-22.80, -10.64, 0.00)
(-22.80, -10.48, 0.00)
(-22.80, -10.32, 0.00)
(-22.80, -10.16, 0.00)
(-22.80, -10.00, 0.00)
(-22.80, -9.84, 0.00)
(-22.80, -9.68, 0.00)
(-22.80, -9.52, 0.00)
(-22.80, -9.36, 0.00)
(-22.80, -9.20, 0.00)
(-22.80, -9.04, 0.00)
(-22.80, -8.88, 0.00)
(-22.80, -8.72, 0.00)
(-22.80, -8.56, 0.00)
(-22.80, -8.40, 0.00)
(-22.80, -8.24, 0.00)
(-22.80, -8.08, 0.00)
(-22.80, -7.92, 0.00)
(-22.80, -7.76, 0.00)
(-22.80, -7.60, 0.00)
(-22.80, -7.44, 0.00)
(-22.80, -7.28, 0.00)
(-22.80, -7.12, 0.00)
(-22.80, -6.96, 0.00)
(-22.80, -6.80, 0.00)
(-22.80, -6.64, 0.00)
(-22.80, -6.48, 0.00)
(-22.80, -6.32, 0.00)
(-22.80, -6.16, 0.00)
(-22.80, -6.00, 0.00)
(-22.80, -5.84, 0.00)
(-22.80, -5.68, 0.00)
(-22.80, -5.52, 0.00)
(-22.80, -5.36, 0.00)
(-22.80, -5.20, 0.00)
(-22.80, -5.04, 0.00)
(-22.80, -4.88, 0.00)
(-22.80, -4.72, 0.00)
(-22.80, -4.56, 0.00)
(-22.80, -4.40, 0.00)
(-22.80, -4.24, 0.00)
(-22.80, -4.08, 0.00)
(-22.80, -3.92, 0.00)
(-22.80, -3.76, 0.00)
(-22.80, -3.60, 0.00)
(-19.44, -12.88, 0.00)
(-19.44, -12.72, 0.00)
(-19.44, -12.56, 0.00)
(-19.44, -12.40, 0.00)
(-19.44, -12.24, 0.00)
(-19.44, -12.08, 0.00)
(-19.44, -11.92, 0.00)
(-19.44, -11.76, 0.00)
(-19.44, -11.60, 0.00)
(-19.44, -11.44, 0.00)
(-19.44, -11.28, 0.00)
(-19.44, -11.12, 0.00)
(-19.44, -10.96, 0.00)
(-19.44, -10.80, 0.00)
(-19.44, -10.64, 0.00)
(-19.44, -10.48, 0.00)
(-19.44, -10.32, 0.00)
(-19.44, -10.16, 0.00)
(-19.44, -10.00, 0.00)
(-19.44, -9.84, 0.00)
(-19.44, -9.68, 0.00)
(-19.44, -9.52, 0.00)
(-19.44, -9.36, 0.00)
(-19.44, -9.20, 0.00)
(-19.44, -9.04, 0.00)
(-19.44, -8.88, 0.00)
(-19.44, -8.72, 0.00)
(-19.44, -8.56, 0.00)
(-19.44, -8.40, 0.00)
(-19.44, -8.24, 0.00)
(-19.44, -8.08, 0.00)
(-19.44, -7.92, 0.00)
(-19.44, -7.76, 0.00)
(-19.44, -7.60, 0.00)
(-19.44, -7.44, 0.00)
(-19.44, -7.28, 0.00)
(-19.44, -7.12, 0.00)
(-19.44, -6.96, 0.00)
(-19.44, -6.80, 0.00)
(-19.44, -6.64, 0.00)
(-19.44, -6.48, 0.00)
(-19.44, -6.32, 0.00)
(-19.44, -6.16, 0.00)
(-19.44, -6.00, 0.00)
(-19.44, -5.84, 0.00)
(-19.44, -5.68, 0.00)
(-19.44, -5.52, 0.00)
(-19.44, -5.36, 0.00)
(-19.44, -5.20, 0.00)
(-19.44, -5.04, 0.00)
(-19.44, -4.88, 0.00)
(-19.44, -4.72, 0.00)
(-19.44, -4.56, 0.00)
(-19.44, -4.40, 0.00)
(-19.44, -4.24, 0.00)
(-19.44, -4.08, 0.00)
(-19.44, -3.92, 0.00)
(-19.44, -3.76, 0.00)
(-19.44, -3.60, 0.00)
(-19.44, -3.44, 0.00)
(-22.16, -11.44, 0.00)
(-22.16, -10.80, 0.00)
(-22.16, -10.64, 0.00)
(-22.16, -10.48, 0.00)
(-22.16, -10.32, 0.00)
(-22.00, -11.44, 0.00)
(-22.00, -10.64, 0.00)
(-22.00, -10.32, 0.00)
(-21.84, -11.44, 0.00)
(-21.84, -10.80, 0.00)
(-21.84, -10.32, 0.00)
(-21.68, -11.44, 0.00)
(-21.68, -10.80, 0.00)
(-21.68, -10.32, 0.00)
(-21.52, -10.80, 0.00)
(-21.52, -10.64, 0.00)
(-21.52, -10.48, 0.00)
(-21.52, -10.32, 0.00)
(-20.88, -12.24, 0.00)
(-20.88, -11.76, 0.00)
(-20.88, -11.60, 0.00)
(-20.88, -11.44, 0.00)
(-20.88, -11.28, 0.00)
(-20.72, -12.24, 0.00)
(-20.72, -11.76, 0.00)
(-20.72, -11.28, 0.00)
(-20.72, -10.80, 0.00)
(-20.72, -10.64, 0.00)
(-20.72, -10.48, 0.00)
(-20.72, -10.32, 0.00)
(-20.56, -12.24, 0.00)
(-20.56, -11.76, 0.00)
(-20.56, -11.28, 0.00)
(-20.56, -10.64, 0.00)
(-20.56, -10.32, 0.00)
(-20.40, -11.60, 0.00)
(-20.40, -11.28, 0.00)
(-20.40, -10.80, 0.00)
(-20.40, -10.32, 0.00)
(-20.24, -12.24, 0.00)
(-20.24, -11.76, 0.00)
(-20.24, -11.28, 0.00)
(-20.24, -10.80, 0.00)
(-20.24, -10.32, 0.00)
(-20.08, -12.24, 0.00)
(-20.08, -11.76, 0.00)
(-20.08, -11.28, 0.00)
(-20.08, -10.80, 0.00)
(-20.08, -10.64, 0.00)
(-20.08, -10.48, 0.00)
(-20.08, -10.32, 0.00)
(-19.92, -11.76, 0.00)
(-19.92, -11.60, 0.00)
(-19.92, -11.44, 0.00)
(-19.92, -11.28, 0.00)
(-22.64, -9.84, 0.00)
(-22.48, -9.84, 0.00)
(-22.32, -9.84, 0.00)
(-22.16, -9.84, 0.00)
(-22.00, -9.84, 0.00)
(-21.84, -9.84, 0.00)
(-21.68, -9.84, 0.00)
(-21.52, -9.84, 0.00)
(-21.36, -9.84, 0.00)
(-21.20, -9.84, 0.00)
(-20.72, -9.84, 0.00)
(-20.56, -9.84, 0.00)
(-20.40, -9.84, 0.00)
(-20.24, -9.84, 0.00)
(-20.08, -9.84, 0.00)
(-19.92, -9.84, 0.00)
(-19.76, -9.84, 0.00)
(-19.60, -9.84, 0.00)
(-21.20, -9.68, 0.00)
(-21.20, -9.52, 0.00)
(-21.20, -9.36, 0.00)
(-21.20, -9.20, 0.00)
(-21.20, -9.04, 0.00)
(-20.72, -9.68, 0.00)
(-20.72, -9.52, 0.00)
(-20.72, -9.36, 0.00)
(-20.72, -9.20, 0.00)
(-20.72, -9.04, 0.00)
(-22.64, -9.04, 0.00)
(-22.48, -9.04, 0.00)
(-22.32, -9.04, 0.00)
(-22.16, -9.04, 0.00)
(-22.00, -9.04, 0.00)
(-21.84, -9.04, 0.00)
(-21.68, -9.04, 0.00)
(-21.52, -9.04, 0.00)
(-21.36, -9.04, 0.00)
(-20.56, -9.04, 0.00)
